Alias,Address,City,State,Zip,Lat,Lng,Time,Time_window_start,Time_window_end
ToDelete - SUP6510 ~ Super 8 Motel Dba Nivas Investments ~ REPID11,6510 I-27 So,Lubbock,TX,79404,33.53463,-101.84558,30,8:00,17:00
ToDelete - SUP2909 ~ Super 8 Motel ~ REPID11,2909 E Interstate 40 Exit 724,Amarillo,TX,79104-3503,35.20119,-101.79227,30,8:00,17:00
ToDelete - SUP8701 ~ Super 8 Motel - Amarillo ~ REPID11,8701 I-40 E Exit 75,Amarillo,TX,79118,35.222,-101.8313,30,8:00,17:00
ToDelete - SUPEAST ~ Super 8 Motel - Dalhart ~ REPID11,403 Tanglewood Rd,Dalhart,TX,79022-2911,36.06888,-102.51318,30,8:00,17:00
ToDelete - SUP3200 ~ Super 8 - Fort Stockton ~ REPID11,3200 W Dickinson Blvd,Fort Stockton,TX,79735-4124,30.89429,-102.91595,30,8:00,17:00
ToDelete - BES1401H ~ Best Western   Coleman Inn ~ REPID11,1401 Highway 84 Byp,Coleman,TX,76834-2649,32.08315,-93.50516,30,8:00,17:00
ToDelete - ROO3300 ~ Tim's Irish Pub ~ REPID11,3300 82nd St,Lubbock,TX,79423-2045,33.52031,-101.88554,30,8:00,17:00
ToDelete - UNIANGELO ~ Chartwells @ Angelo State University ~ REPID11,2201 Vanderventer Ave,San Angelo,TX,76904,31.44194,-100.45976,30,8:00,17:00
ToDelete - DYN1001 ~ Dynamic Foods ~ REPID11,1001 E 33rd St,Lubbock,TX,79404-1816,33.56477,-101.82433,30,8:00,17:00
ToDelete - QUA3430 ~ Quality Inn & Suites - Lubbock ~ REPID11,3430 W Loop 289,Lubbock,TX,79407-3745,33.56109,-101.94409,30,8:00,17:00
ToDelete - QUA3001 ~ Quality Inns & Suites - Odessa ~ REPID11,3001 E Business 20,Odessa,TX,79761-4345,31.86991,-102.32079,30,8:00,17:00
ToDelete - TOW4412 ~ TownPlace Suites - Odessa ~ REPID11,4412 Tanglewood Ln,Odessa,TX,79762-4900,31.89714,-102.34285,30,8:00,17:00
ToDelete - QUA6800W ~ Red Roof Inn & Suites ~ REPID11,6800 I-40 W,Amarillo,TX,79106,35.18884,-101.91249,30,8:00,17:00
ToDelete - QUA1515 ~ Quality Inn - Amarillo ~ REPID11,1515 E Interstate 40,Amarillo,TX,79102-4323,35.19357,-101.82086,30,8:00,17:00
ToDelete - COM2707 ~ Comfort Suites - Hobbs ~ REPID11,2708 Scenic Dr,Hobbs,NM,88240-1274,32.75249,-103.17066,30,8:00,17:00
ToDelete - COM4706 ~ Comfort Suites - Midland ~ REPID11,4706 N Garfield St,Midland,TX,79705-2656,32.04097,-102.11317,30,8:00,17:00
ToDelete - UNI5807 ~ United Supermarket #529 ~ REPID11,5807 SW 45th St,Amarillo,TX,79109,35.16076,-101.8996,30,8:00,17:00
ToDelete - RAM2800 ~ Lone Star Inn ~ REPID11,2800 W Highway 90,Alpine,TX,79830-4132,30.35849,-103.66101,30,8:00,17:00
ToDelete - UNI1701 ~ United Supermarkets ~ REPID11,1701 5Oth,Lubbock,TX,79412,33.54752,-101.85596,30,8:00,17:00
ToDelete - RES6700 ~ Residence Inn - Amarillo ~ REPID11,6700 I-40 W,Amarillo,TX,79106,35.18913,-101.91165,30,8:00,17:00
ToDelete - RES5509 ~ Residence Inn - Midland ~ REPID11,5509 Deauville,Midland,TX,79706-2900,31.99164,-102.15445,30,8:00,17:00
ToDelete - COM5113 ~ Comfort Suites - Lubbock ~ REPID11,5113 S Loop 289,Lubbock,TX,79424-1632,33.53331,-101.9192,30,8:00,17:00
ToDelete - COM3615 ~ Comfort Suites - Plainview ~ REPID11,3615 Grandview St,Plainview,TX,79072-6625,34.18478,-101.7487,30,8:00,17:00
ToDelete - COM6318 ~ Comfort Suites - Amarillo ~ REPID11,6318 Ventura Dr,Amarillo,TX,79110-4808,35.11942,-101.90594,30,8:00,17:00
ToDelete - COU5220 ~ Country Inn & Suites - Hobbs ~ REPID11,5220 N Lovington Hwy,Hobbs,NM,88240-9154,32.75886,-103.17881,30,8:00,17:00
ToDelete - DAY1120 ~ Days Inn & Suites - Clayton ~ REPID11,1120 S 1st St,Clayton,NM,88415-2102,36.44124,-103.17804,30,8:00,17:00
ToDelete - DAY1310 ~ Days Inn - Roswell ~ REPID11,1310 N Main St,Roswell,NM,88201-5014,33.40699,-104.52287,30,8:00,17:00
ToDelete - DAY3075 ~ Travelodge ~ REPID11,3075 E Business 20,Odessa,TX,79761-4345,31.87095,-102.31835,30,8:00,17:00
ToDelete - DAY600E ~ Days Inn - Van Horn ~ REPID11,600 E Broadway,Van Horn,TX,79855,31.04041,-104.82446,30,8:00,17:00
ToDelete - DAY3904 ~ Days Inn - Midland ~ REPID11,3904 W Wall St,Midland,TX,79703-7714,31.97588,-102.11745,30,8:00,17:00
ToDelete - SUP1201 ~ Super 8 - Guymon ~ REPID11,1201 E Hwy 54,Guymon,OK,73942,36.68999,-101.46484,30,8:00,17:00
ToDelete - LUB7006 ~ Lubbock Breakfast House ~ REPID11,7006 University Ave,Lubbock,TX,79413-6336,33.53029,-101.87198,30,8:00,17:00
