Alias,Address,City,State,Zip,Lat,Lng,Time,Time_window_start,Time_window_end,
ToDelete - WGA-COU1033 ~ Country Inn & Suites - Calhoun ~ REPID3502,1033 Fairmont Highway,Calhoun,GA,30701,34.46714,-84.91498,30,8:00,17:00,
ToDelete - WGA-LA 150 ~ La Quinta Inn - Calhoun ~ REPID3502,150 Cracker Barrel Dr,Calhoun,GA,30701,34.47081,-84.91528,30,8:00,17:00,
ToDelete - WGA-RAM1204 ~ Ramada Inn - Calhoun ~ REPID3502,1204 Red Bud Road,Calhoun,GA,30701,34.51254,-84.92151,30,8:00,17:00,
ToDelete - WGA-ROD2265 ~ Rodeway Inn ~ REPID3502,2265 US 41 Hwy NE,Calhoun,GA,30701-8815,34.56033,-84.93668,30,8:00,17:00,
ToDelete - WGA-HAM710 ~ Hampton Inn - Canton ~ REPID3502,710 Transit Avenue,Canton,GA,30114,34.25418,-84.47072,30,8:00,17:00,
ToDelete - WGA-OCH1409 ~ O'Charley's - Canton ~ REPID3502,1409 Riverstone Parkway,Canton,GA,30114,34.25005,-84.47615,30,8:00,17:00,
ToDelete - WGA-HAM102 ~ Hampton Inn - Carrollton ~ REPID3502,102 S. Cottage Hill Road,Carrollton,GA,30117,33.55172,-85.07493,30,8:00,17:00,
ToDelete - WGA-OCH1591 ~ O'Charley's - Carrollton ~ REPID3502,1591 S. Highway 27,Carrollton,GA,30117,33.54647,-85.07445,30,8:00,17:00,
ToDelete - WGA-UNI1601 ~ University of West Georgia - ARAMARK ~ REPID3502,1601 Maple Street,Carrollton,GA,30018,33.57135,-85.10338,30,8:00,17:00,
ToDelete - WGA-BES5663 ~ Best Western - Cartersville ~ REPID3502,5663 Hwy 20 NE,Cartersville,GA,30121,34.21151,-84.75776,30,8:00,17:00,
ToDelete - WGA-COU43 ~ Country Inn & Suites - Cartersville ~ REPID3502,43 State Road 20 Spur,Cartersville,GA,30121,34.2074,-84.75661,30,8:00,17:00,
ToDelete - WGA-FAI20 ~ Fairfield Inn & Suites - Cartersville ~ REPID3502,20 Canyon Pkwy,Cartersville,GA,30120,34.17508,-84.76433,30,8:00,17:00,
ToDelete - WGA-HAM5600 ~ Hampton Inn - Cartersville ~ REPID3502,5600 Hwy 20 S.E.,Cartersville,GA,30120,34.20422,-84.76845,30,8:00,17:00,
ToDelete - WGA-HIL24 ~ Hilton Garden Inn - Cartersville ~ REPID3502,24 Liberty Drive,Cartersville,GA,30121,34.16798,-84.78159,30,8:00,17:00,
ToDelete - WGA-RED28 ~ Red Roof Inn - Cartersville ~ REPID3502,28 Highway 20 Spur,Cartersville,GA,30121,34.20679,-84.75935,30,8:00,17:00,
ToDelete - WGA-SUP41 ~ Econolodge ~ REPID3502,41 SR 20 Super SE,Cartersville,GA,30121,34.20725,-84.75783,30,8:00,17:00,
ToDelete - WGA-GOL2924 ~ Golden Corral Restaurant ~ REPID3502,2924 Watson Blvd,Centerville,GA,31028,32.61905,-83.68719,30,8:00,17:00,
ToDelete - WGA-OCH2990 ~ O'Charley's - Centerville ~ REPID3502,2990 Watson Blvd.,Centerville,GA,31028,32.61844,-83.68932,30,8:00,17:00,
ToDelete - WGA-HAM2775 ~ Hampton Inn - Cumberland Pkwy. ~ REPID3502,2775 Cumberland Parkway,Atlanta,GA,30339,33.87782,-84.47305,30,8:00,17:00,
"ToDelete - WGA-HOM3200 ~ Homewood Suites by Hilton Atlanta-Galleria/Cumberland, GA ~ REPID3502",3200 Cobb Parkway,Atlanta,GA,30339,33.88013,-84.46043,30,8:00,17:00,
ToDelete - WGA-DAY4502 ~ Days Inn ~ REPID3502,4502 Circle 25 Pkway,Atlanta,GA,30339,33.69698,-84.40521,30,8:00,17:00,
ToDelete - WGA-COU4500 ~ Country Inn & Suites - NW @ Windy Hill Rd ~ REPID3502,4500 Circle 75 Parkway,Atlanta,GA,30339,33.89964,-84.47369,30,8:00,17:00,
ToDelete - WGA-MAR200 ~ Marriott ~ REPID3502,200 Interstate N Pkwy,Atlanta,GA,30339,33.89494,-84.46374,30,8:00,17:00,
ToDelete - WGA-WIN2762 ~ WINGATE INN ~ REPID3502,2762 Cobb Pkway SE,Atlanta,GA,30339,33.88445,-84.47189,30,8:00,17:00,
"ToDelete - WGA-SHE2844 ~ Sheraton Suites Galleria, Atlanta ~ REPID3502",2844 Cobb Pkwy SE,Atlanta,GA,30339,33.88292,-84.46898,30,8:00,17:00,
ToDelete - HAM450 ~ Hampton Inn - Woodstock ~ REPID3502,450 Parkway 575,Woodstock,GA,30188-3877,34.09019,-84.53069,30,8:00,17:00,
ToDelete - BES2120 ~ Best Western - Fort Oglethorpe ~ REPID3502,2120 Lafayette Rd,Fort Oglethorpe,GA,30742-3792,34.95888,-85.25891,30,8:00,17:00,
ToDelete - AME1438 ~ Americas Best Inn - Calhoun ~ REPID3502,1438 Hwy 41 N.,Calhoun,GA,30701,34.47408,-84.93343,30,8:00,17:00,
ToDelete - SUP115 ~ Super 8 - Calhoun ~ REPID3502,115 Hampton Dr.,Calhoun,GA,30701,34.47057,-84.92164,30,8:00,17:00,
ToDelete - ROD911 ~ Rodeway Inn - Dalton ~ REPID3502,911 Market St,Dalton,GA,30720-5049,34.75991,-84.99834,30,8:00,17:00,
ToDelete - RYA1228 ~ Ryan's #2120 ~ REPID3502,1228 N Westover Blvd,Albany,GA,31707-6601,31.61475,-84.20551,30,8:00,17:00,
ToDelete - RAM2024 ~ Ramada Inn ~ REPID3502,2024 Watson Blvd,Warner Robins,GA,31093-3624,32.61941,-83.64793,30,8:00,17:00,
ToDelete - RYA819 ~ Ryan's #2343 ~ REPID3502,819 Walnut Square Blvd,Dalton,GA,30721-4592,34.69734,-84.9799,30,8:00,17:00,
ToDelete - GWE3437 ~ Gwens Family Restaurant ~ REPID3502,3437 Business 27,Buchanan,GA,30113-4840,33.79793,-85.18841,30,8:00,17:00,
ToDelete - RYA1156 ~ Ryan's #2344 ~ REPID3502,1156 Bankhead Hwy,Carrollton,GA,30116-8501,33.59613,-85.03826,30,8:00,17:00,
ToDelete - QUA1902 ~ Quality Inn ~ REPID3502,1902 W Hill Ave,Valdosta,GA,31601-5112,30.82014,-83.31403,30,8:00,17:00,
ToDelete - RYA1323 ~ Ryan's #2456 ~ REPID3502,1323 N Expressway,Griffin,GA,30223-1750,33.26943,-84.29044,30,8:00,17:00,
ToDelete - RYA1021 ~ Ryans ~ REPID3502,1021 Dowdy Rd,Athens,GA,30606-5718,33.91845,-83.4418,30,8:00,17:00,
ToDelete - RYA1900 ~ Ryan's #2115 ~ REPID3502,1900 Manchester Expy,Columbus,GA,31904-6752,32.50668,-84.96471,30,8:00,17:00,
ToDelete - SUB3662 ~ Suburban Extended Stay Hotel ~ REPID3502,3662 Victory Dr,Columbus,GA,31903,32.41829,-84.9462,30,8:00,17:00,
ToDelete - QUA5035 ~ Quality Inn - Acworth ~ REPID3502,5035 Cowan Rd,Acworth,GA,30101-5132,34.07573,-84.65466,30,8:00,17:00,
ToDelete - MIC2980 ~ Microtel Inn - Lithonia ~ REPID3502,2980 Evans Mill Rd,Lithonia,GA,30038-2415,33.69832,-84.121,30,8:00,17:00,
ToDelete - MID100 ~ Middle Georgia St. College ~ REPID3502,100 College Station Dr,Macon,GA,31206-5100,32.81168,-83.73088,30,8:00,17:00,
ToDelete - DAY1518 ~ Days Inn Dalton ~ REPID3502,1518 W Walnut Ave,Dalton,GA,30720-3831,34.76125,-84.99719,30,8:00,17:00,
ToDelete - COM2225 ~ Comfort Suites - Lawrenceville ~ REPID3502,2225 Riverside Pkwy,Lawrenceville,GA,30043-5932,33.96301,-84.03776,30,8:00,17:00,
ToDelete - DAY4999 ~ Days Inn -Macon ~ REPID3502,4999 Eisenhouser,Macon,GA,31206,32.81182,-83.71999,30,8:00,17:00,
ToDelete - EAT1121 ~ Eaton - Aramark ~ REPID3502,1121 Highway 74 S,Peachtree City,GA,30269-3019,33.35053,-84.5556,30,8:00,17:00,
ToDelete - DEN1701 ~ Denny's #8880 -Gainesville ~ REPID3502,1730 Browns Bridge,Gainesville,GA,30501,34.28375,-83.84898,30,8:00,17:00,
ToDelete - COM416 ~ Baymont Inn ~ REPID3502,416 Greer St,Cordele,GA,31015-5383,31.95467,-83.75612,30,8:00,17:00,
ToDelete - MIM303 ~ Mimi's Good Food ~ REPID3502,303 Kelly Dr,Peachtree City,GA,30269-1951,33.38002,-84.57917,30,8:00,17:00,
ToDelete - WGA-LAQ2415 ~ La Quinta Inn ~ REPID3502,2415 Paces Ferry Rd SE,Atlanta,GA,30339,33.86316,-84.48328,30,8:00,17:00,
ToDelete - DEN3602 ~ Denny's - Union Point ~ REPID3502,3602 Hwy 72 South,Union Point,GA,30669,33.61046,-83.06512,30,8:00,17:00,
ToDelete - QUA5300 ~ Quality Inn - Decatur ~ REPID3502,5300 Snapfinger Dr.,Decatur,GA,30035,33.70987,-84.17295,30,8:00,17:00,
ToDelete - RIT3000 ~ Ritz Carlton Lodge - Greensboro ~ REPID3502,3000 Lake Oconee Trl,Greensboro,GA,30642-4454,33.53595,-83.21601,30,8:00,17:00,
ToDelete - PIC1536 ~ Piccailly -Conyers ~ REPID3502,1536 Hwy 138,Conyers,GA,30013,33.64962,-84.00912,30,8:00,17:00,
ToDelete - LAQ1800 ~ La Quinta Inn & Suites -Valdosta ~ REPID3502,1800 Clubhouse Drive,Valdosta,GA,31601,30.84001,-83.32788,30,8:00,17:00,
ToDelete - RYA55 ~ Ryan's Steakhouse ~ REPID3502,55 Pace Ct,Hiram,GA,30141-2171,33.89443,-84.76083,30,8:00,17:00,
ToDelete - RYA2508 ~ Ryans Steakhouse ~ REPID3502,2305 Shorter Ave SW,Rome,GA,30165-1946,34.27158,-85.23223,30,8:00,17:00,
ToDelete - SLE109 ~ Sleep Inn Peachtree City ~ REPID3502,109 City Circle,Peachtree City,GA,30269,33.39523,-84.58996,30,8:00,17:00,
ToDelete - FAI2010 ~ Fairfield Inn - Valdosta ~ REPID3502,2010 W Hill Ave,Valdosta,GA,31601-5114,30.82098,-83.31646,30,8:00,17:00,
ToDelete - QUA1602 ~ Quality Inn - Perry ~ REPID3502,1602 Sam Nunn Blvd,Perry,GA,31069-2055,32.47538,-83.74658,30,8:00,17:00,
ToDelete - HAM102H ~ Hampton Inn - Perry ~ REPID3502,102 Hampton Ct,Perry,GA,31069-2161,32.46872,-83.74389,30,8:00,17:00,
ToDelete - QUA806 ~ Quality Inn - Albany ~ REPID3502,806 N Westover Blvd,Albany,GA,31707-1659,31.61784,-84.22192,30,8:00,17:00,
ToDelete - HAM2628 ~ Hampton Inn - Albany ~ REPID3502,2628 Dawson Rd,Albany,GA,31707-1609,31.61845,-84.22049,30,8:00,17:00,
ToDelete - BES86341 ~ Best Western -Hawkinsville ~ REPID3502,86341 Bypass,Hawkinsville,GA,31036,32.10662,-83.57998,30,8:00,17:00,
ToDelete - JCH1650 ~ J. Christopher's - Athens ~ REPID3502,1650 South Lumpkin Street,Athens,GA,30606,33.93869,-83.38689,30,8:00,17:00,
